,questions,answer_texts
10,"[""What's the place of birth of Manuel Neuer?"", 'What state of Germany does his birth place belong to?', ""What's the capital?"", 'Does it have an airport?', ""What's the name of the main soccer club there?""]","['Gelsenkirchen', 'North Rhine-Westphalia', 'Düsseldorf', 'Yes', 'Fortuna Düsseldorf']"
11,"['In what year was the film Black Panther released?', 'Black Panther played by who?', 'Does the larger Marvel universe include Black Panther?', 'Directed by who?', 'Has Black Panther been in other Marvel films?']","['2018', 'Chadwick Boseman', 'Yes', 'Ryan Coogler', 'Yes']"
12,"['Did The Black Eyed Peas form in 1998?', 'Where did they first get together?', 'What music do they play?', 'Do they have an official website?', 'Did Fergie leave the band in 2014 ?']","['No', 'Los Angeles', 'hip hop music;techno;pop music', 'http://www.blackeyedpeas.com', 'No']"
13,"[""Who was the Author of One Flew Over the Cuckoo's Nest?"", 'In which year was it published?', ""What region is it's setting?"", 'Did it go to Broadway?', 'Was it adapted for the big screen?']","['Ken Kesey', '1962', 'Oregon', 'Yes', 'Yes']"
14,"['Led Zeppelin had how many band members?', 'Which one they released first: Houses of the Holy or Physical Graffiti?', 'Is the rain song and immigrant song there?', 'Who is the lyricist of those songs?', 'What is his previous band name?']","['4', 'Houses of the Holy', 'No', 'Jimmy Page', 'The Yardbirds']"
15,"['Who is the writer of the fiction novel 1Q84?', 'the country that the author is from?', 'which of his books won the World Fantasy Award for the best novel?', 'is he a recipient of Franz Kafka award?', 'when?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
16,"['What English Premier League soccer team did David Beckham play for in 2002?', ""and who's he married to?"", 'and what band was she in?', 'he won what award in 2012?', ""where's he from?""]","['Manchester United', 'Victoria Beckham', 'Spice Girls', 'Best MLS Player ESPY Award', 'United Kingdom']"
17,"['What other name is Harry Potter and the Philosophers Stone known by?', 'Who is the author?', 'What is the the title of the next book?', 'and the third book?', 'What is the fourth book called?']","[""Harry Potter and the Sorcerer's Stone"", 'J.K. Rowling', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire']"
18,"['How many seasons did the TV show Friends air?', 'Who produced the show?', 'Who distributed the show?', 'What was the theme song for the show?', 'Where did Jennifer Aniston and David Schwimmer both work?']","['10', 'David Crane;Marta Kauffman', 'Warner Bros. Television Distribution', ""I'll Be There for You"", 'Friends']"
19,"['Who created The Orville?', 'What network airs it?', 'How long does an episode run?', 'What was the airdate of the first episode?', ""What's the name of the actress who is the Xelayan security chief?""]","['Seth MacFarlane', 'Fox Broadcasting Company', '44 minute', '10 September 2017', 'Halston Sage']"
20,"['Who plays the role of Queen Elizabeth II in the TV series The Crown?', 'where did she receive her university education?', ""who plays the queen's husband?"", 'whom is the series a historical drama on?', 'the series was created by?']","['Claire Foy', 'Liverpool John Moores University;Oxford School of Drama', 'Matt Smith', 'Queen Elizabeth II', 'Peter Morgan']"
21,"[""Who is Celine Dion's spouse?"", 'his death year?', 'reason for his death?', 'song sung by Celine Dion for the movie Titanic?', 'her first English-languge album was called as?']","['Rene Angelil', '2016', 'Cancer', 'My Heart Will Go On', 'Unison']"
22,"['When did Mission: Impossible – Fallout come out?', 'what actor was the lead?', 'and who directed the movie?', 'what genre was the movie?', ""who was the film's production company?""]","['2018', 'Tom Cruise', 'Christopher McQuarrie', 'Mission: Impossible – Fallout was a thriller film.', 'Bad Robot Productions']"
23,"[""What is the name of Celine Dion's husband ?"", 'his death year?', 'and the cause of his death was?', ""Celine Dion's song in the movie Titanic?"", 'her first English-languge album was called as?']","['Rene Angelil', '2016', 'Cancer', 'My Heart Will Go On', 'Unison']"
24,"['What other name is Harry Potter and the Philosophers Stone known by?', 'Who is the author?', 'What is the next book?', 'and the third book?', 'Name of the fourth?']","[""Harry Potter and the Sorcerer's Stone"", 'J.K. Rowling', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire']"
25,"['What movie stars Constance Wu and Henry Golding?', 'it is directed by who?', 'Who wrote the screenplay?', 'It premiered when?', 'Was this filmed adapted from a book?']","['Crazy Rich Asians', 'Jon M. Chu', 'Adele Lim', '7 August 2018', 'Yes']"
26,"['During his time at FC Bayern München, did Bastian Schweinsteiger receive any awards?', 'Did he play for the German National team when he got one of those awards?', 'How is his brother called?', 'What does he do for a living?', 'Was he also part of the German National Team at some point?']","['Yes', 'Yes', 'Tobias Schweinsteiger', 'association football player', 'No']"
27,"['When was The Wizard of Oz first released in theaters?', 'Which actress played Dorothy Gale in that movie?', 'And who wrote the book it was based on?', 'The name of the song she sings in the movie is?', 'And who wrote the song?']","['25 August 1939', 'Judy Garland', 'L. Frank Baum', 'Over the Rainbow', 'Harold Arlen;Yip Harburg']"
28,"[""Who is the author of the book Charlotte's Web?"", ""Who is the publisher of Charlotte's Web?"", 'When was the book published?', 'Did the book get an award?', 'What country was the book written?']","['E. B. White', 'Haper', '1952', 'Newbery Medal', 'United States of America']"
29,"['What year did the TV show Breaking Bad premiere?', ""What's the name of the show's creator?"", 'Which network did it air on?', 'What is the name of the actor who played Walter White?', 'Aaron Paul played which character on the show?']","['2008', 'Vince Gilligan', 'AMC', 'Bryan Cranston', 'Jesse Pinkman']"
30,"['Who is the main creator of the series Supernatural?', 'How many seasons are there in 2018?', 'What actor plays the father for Sam and Dean?', 'Whats the yellow eyed demons name?', 'Who is the actor that plays Bobby Singer?']","['Eric Kripke', '14', 'Jeffrey Dean Morgan', 'Azazel', 'Jim Beaver']"
31,"['What is the full name of Kanye West?', 'Which genre does he play?', 'and what is his wife?', 'What was the first album?', 'Where did he drop out from to make music?']","['Kanye Omari West', 'hip hop music', 'Kim Kardashian', 'The College Dropout', 'Chicago State University']"
32,"[""What's the place of birth of Manuel Neuer?"", 'What state of Germany does his birth place belong to?', 'How is the capital city called?', 'Is there an airport?', ""What's the name of the main soccer club there?""]","['Gelsenkirchen', 'North Rhine-Westphalia', 'Düsseldorf', 'Yes', 'Fortuna Düsseldorf']"
33,"['Where does the idea of Game of Thrones come from ?', 'Directors of the TV series ?', 'How many episodes exists in 2018 ?', 'and where was it shown first ?', 'Where is the head quarter location ?']","['A Song of Ice and Fire', 'David Benioff;D. B. Weiss', '67', 'HBO', 'New York City']"
34,"['What movie by Steven Spielberg features a great white terroizing an island?', 'Where did the shark attack happen in Jaws?', 'Which person is attacked by the shark first in Jaws?', 'Who is the chief in Jaws?', 'What is the fishermans name in the movie Jaws?']","['Jaws', 'Amity Island', 'Chrissie Watkins', 'Martin Brody', 'Bartholomew Marion Quint']"
35,"['The Los Angeles Galaxy are a member of what soccer league?', ""what's their home stadium?"", 'when did the team start up?', 'did David Beckham play for them?', ""what was the coach's name in August 2008?""]","['Major League Soccer', 'Dignity Health Sports Park', '1995', 'yes', 'Cobi Jones']"
36,"['By whom is the character the unicorn in The Last Unicorn dubbed?', 'Did the voice actor work as a model in the past?', 'Is the movie based on a book?', 'By whom is the soundtrack?', 'In what style is their music typically?']","['Mia Farrow', 'Yes', 'Yes', 'America', 'folk rock']"
37,"['What year was the movie Die Hard released?', 'And who is the primary actor?', ""What's his name in the movie?"", 'Which director directed it?', 'Which book is the movie based on?']","['1988', 'Bruce Willis', 'John McClane', 'John McTiernan', 'Nothing Lasts Forever']"
38,"['Whom did Patrick Steward play in the series ""Star Trek""?', 'And Pickard worked as whom?', 'Did only Steward act as Pickard?', 'Which actor?', 'in which episode?']","['Jean-Luc Picard', 'commanding officer', 'Yes', 'David Birkin', 'Rascals']"
39,"['Who is the author of Ready Player One?', 'what kind of story is it?', 'was something created from the book?', ""what was the book's publisher?"", 'and did the book win any awards?']","['Ernest Cline', 'science fiction novel', 'Ready Player One was made into a movie.', 'Crown Publishing Group', 'Ready Player One won the Promethus Award.']"
40,"['When is the singer Halsey born?', 'Is the singer Lana Del Rey older than her?', 'And what album from Lana Del Rey did come out in 2014?', 'And in 2017?', 'Do the two albums have the same genre?']","['29 September 1994', 'Yes', 'Ultraviolence', 'Lust for Life', 'No']"
41,"['Who was the creator of the TV series M*A*S*H?', 'which network aired it?', 'who was the director?', 'it was about which war?', 'who played Hawkeye?']","['Larry Gelbart', 'CBS', 'Robert Altman', 'Korean War', 'Alan Alda']"
42,"['Did the book To Kill a Mockingbird win a Pulitzer Prize?', 'Which year did it win?', 'And in what genre?', 'Who was the author of the book?', 'Did it also win a National Book Award for Fiction?']","['Yes', '1961', 'Fiction', 'Harper Lee', 'Yes']"
43,"[""Who is married to rapper Jay-Z and from Destiny's Child?"", 'What was the title of her first solo album?', 'First single?', 'What is her most recent albulm to be released? in 2018', 'Her first movie?']","['Beyonce', 'Dangerously in Love', 'Crazy in Love', 'Lemonade', 'Carmen: A Hip Hopera']"
44,"['Did The Black Eyed Peas form in 1998?', 'Where did they first get together?', 'What music category do they belong?', 'What is their official website?', 'Did Fergie leave the group in 2014?']","['No', 'Los Angeles', 'hip hop music;techno;pop music', 'http://www.blackeyedpeas.com', 'No']"
45,"['David Beckham played for which English Premier League soccer team in the year 2002?', ""and who's he married to?"", 'what band was she a member of?', 'what award did he get in 2012?', 'country was he born?']","['Manchester United', 'Victoria Beckham', 'Spice Girls', 'Best MLS Player ESPY Award', 'United Kingdom']"
46,"['What position did the soccer player Zinedine Zidane play on?', 'Birthplace?', 'Football club founded 31 August 1899 in that city?', 'Their owner in 2018?', 'His first wife?']","['midfielder', 'Marseille', 'Olympique de Marseille', 'Frank McCourt', 'Jamie McCourt']"
47,"['What country is Fernando Torres from?', 'What club did he play for in 2012?', 'Which club won the Champions League that year?', ""Did Torres play for Spain's national team in 2010?"", 'Who won the World Cup that year?']","['Spain', 'Chelsea F.C.', 'Chelsea F.C.', 'Yes', 'Spain national football team']"
48,"['How is the first part of The Lord Of The Rings book series called?', 'How many parts?', 'Where is the author born?', ""First wife's name?"", 'Was she an author too?']","['The Fellowship Of The Ring', '3', 'Bloemfontein', 'Edith Tolkien', 'No']"
49,"['Who wrote Foundation?', 'When was it released?', 'Is it part of a series?', 'What is the name of the next book?', 'Is that the final part of the series?']","['Isaac Asimov', '1951', 'Yes', 'Foundation and Empire', 'No']"
50,"[""What actor portrays T'challa in the movie Black Panther?"", 'Killmonger was played by what actor?', 'and what other comic book character did he portray?', 'who directed it?', ""wasn't he the director of Creed as well?""]","['Chadwick Boseman', 'Michael B. Jordan', 'Johnny Storm', 'Ryan Coogler', 'Yes']"
51,"['Major League Soccer is located in what country?', 'How many teams are there?', 'Are they all in the US?', 'From what other countries are there teams?', 'How many are from that country?']","['United States', '24', 'no', 'Canada', '3']"
52,"['Total seasons: Parks and Recreation?', 'Who was cast in it and also produced it?', 'When was she born?', 'Did Chris Pratt also play in that series?', 'Were they born in the same city?']","['7', 'Amy Poehler', '16 September 1971', 'Yes', 'No']"
53,"[""What is McEntire's genre?"", 'The name of the college she attended?', 'When is her birthday?', 'Where was Reba born?', 'Is she an actress?']","['Country music', 'Southeastern Oklahoma State University', '28 March 1955', 'Pittsburg County', 'Yes']"
54,"['Who is the author of Ready Player One?', 'what kind of story is it?', 'was something created from the book?', 'who published the book?', 'what awards did the book win?']","['Ernest Cline', 'science fiction novel', 'Ready Player One was made into a movie.', 'Crown Publishing Group', 'Ready Player One won the Promethus Award.']"
55,"[""What's the name of the main singer for Thirty Seconds to Mars?"", 'In what year did the band come together?', 'Their latest release is called what?', 'When was it released?', 'What was their first album?']","['Jared Leto', '1998', 'America', '2018', '30 Seconds to Mars']"
56,"['What is Post Malones gender?', 'Where did he go to university?', 'Is the album Stoney from him?', 'From which record label is it?', 'Which album was it followed by?']","['male', 'Syracuse University', 'Yes', 'Republic Records', 'Beerbongs & Bentleys']"
57,"['What movie by Steven Spielberg features a great white terroizing an island?', 'What lsland is Jaws located in?', 'Which person is attacked by the shark first in Jaws?', 'What is the Chiefs name in Jaws?', 'Who is the fisherman in Jaws?']","['Jaws', 'Amity Island', 'Chrissie Watkins', 'Martin Brody', 'Bartholomew Marion Quint']"
58,"['What album did Sufjan Stevens release first?', 'What label released this album?', 'When was this singer born?', 'Under what genre does his music normally fall?', 'What college did he attend?']","['A Sun Came', 'Asthmatic Kitty', '1 July 1975', 'Indie Folk', 'Hope College']"
59,"['Which was the first club that Jonas Hector was playing for?', 'At which time did he play at that club?', 'For which club did he play after that?', 'At which year was the player born?', 'And where?']","['SV Auersmacher', '2009;2010', '1. FC Köln', '1990', 'Saarbrücken']"
60,"['Name of the club Zlatan Ibrahimović was playing for in 2016/2017?', 'Was he born in the country of Manchester United F.C. from?', 'Country name of that club?', 'Did they win wc 2018?', 'Where was that event held?']","['Manchester United F.C.', 'No', 'United Kingdom', 'No', 'Russia']"
61,"['What channel has been home to Saturday Night Live since it’s debut?', 'What’s the name of the show’s creator?', 'What Canadian city is he from?', 'On what day did it begin?', 'Who was the first host?']","['NBC', 'Lorne Michaels', 'Toronto', '11 October 1975', 'George Carlin']"
62,"['Where was the band Die Toten Hosen founded ?', 'In which country is the city located ?', 'In which year was the band founded ?', 'Are they playing punk rock ?', 'Is this genre part of the genres of the band Die Ärzte?']","['Düsseldorf', 'Germany', '1982', 'Yes', 'Yes']"
63,"['What year was the album Like A Virgin released?', 'what artist did the album?', 'and what style music was the album?', 'who produced the record?', 'the record label for the album was whom?https://www.wikidata.org/wiki/Q165711']","['1984', 'Madonna', 'dance-pop', 'Nile Rodgers', 'Sire Records']"
64,"['Who is the author of Foundation?', 'When did he release it?', 'Is it part of a series?', 'So what is the sequel?', 'Is that the final part of the series?']","['Isaac Asimov', '1951', 'Yes', 'Foundation and Empire', 'No']"
65,"['Who created the TV show Breaking Bad?', 'Any awards received for that show?', ""What other show's has he worked on since Breaking Bad ended?"", 'When did that show first air?', 'Did that show win any awards in 2019?']","['Vince Gilligan', 'Yes, the Outstanding Drama Series Award', 'Better Call Saul', '2015', 'Yes, TV Program of the Year']"
66,"['Name the club Lionel Messi is currently playing for?', 'who is the captain?', 'Where is he from?', ""He's been with them how long?"", 'where is the club located?']","['FC Barcelona', 'Lionel Messi', 'Argentina', '15 years', 'Spain']"
67,"['What is the genre of the TV series Modern Family ?', 'Was How I Met Your Mother produced after Modern Family ?', 'What is the number of seasons until 2018?', 'In which city does the TV series play?', 'In which continent is this city?']","['mockumentary;American television sitcom', 'No', '10', 'Los Angeles', 'North America']"
68,"['Which country was the winner of the FIFA World Cup in 2018?', 'When was the final held?', 'At which stadium?', 'Who was the head coach of the winning team?', 'And the score at the end of the game was?']","['France national football team', '15 July 2018', 'Luzhniki Stadium', 'Didier Deschamps', '4;2']"
69,"['Who created the TV show Breaking Bad?', 'Any awards received for that show?', ""Has he worked on any show's since Breaking Bad?"", 'When did that show first air?', 'Have there been any awards given out for that show in 2019?']","['Vince Gilligan', 'Yes, the Outstanding Drama Series Award', 'Better Call Saul', '2015', 'Yes, TV Program of the Year']"
70,"['Who is the star of the TV show Elementary?', ""wasn't he in a movie too?"", ""what's his costar's name"", ""isn't the show based on a book series?"", 'the show is part of what tv network?']","['Jonny Lee Miller', 'Yes, he starred in Trainspotting.', 'Lucy Liu', 'The Sherlock Holmes stories', 'CBS']"
71,"['Which cartoonist came up with The Simpsons?', 'What year was the first episode?', 'What character does the show focus on?', 'and who voices him?', 'The wife of Homer is who?']","['Matt Groening', '1989', 'Homer Simpson', 'Dan Castellaneta', 'Marge Simpson']"
72,"['Who directed and screenwrote the incredibles?', 'Did he also produce the movie?', 'What about the sequel, did he direct and screenwrite it?', 'Did the first and the second movies both win academy award?', 'Name of the voice actor for Frozone?']","['Brad Bird', 'No', 'Yes', 'No', 'Samuel L. Jackson']"
73,"['Genre of the book Eragon?', 'and who wrote it ?', 'and when was he born ?', 'When was the book published ?', 'Who is the publisher ?']","['young adult literature;speculative fiction novel', 'Christopher Paolini', '17 November 1983', '26 August 2003', 'Alfred A. Knopf']"
74,"['Who is the author of the Harry Potter book series?', 'Started what year?', 'Authors name abbreviation mean?', 'Made into film?', 'Third book title?']","['J. K. Rowling', '1997', 'Joanne Kathleen', 'Yes', 'Harry Potter and the Prisoner of Azkaban']"
75,"['Who performs Freddie Mercury in Bohemian Rhapsody?', 'Where is he born?', 'What is this actors field of work?', 'And who was the executive producer of the movie?', 'And who edited the movie ?']","['Rami Malek', 'Los Angeles', 'actor;television actor;film actor', 'Arnon Milchan', 'John Ottman']"
76,"['Agatha Christie wrote about both Dale Cooper and Miss Marple?', 'which of them belongs to her?', 'how many books she wrote about her?', 'the first book is called?', 'country she wrote it in?']","['No', 'Miss Marple', '12', 'The Body in the Library', 'United Kingdom']"
77,"['How long does the movie Angels & Demons take ?', 'Is there a movie that follows ?', 'number of screenwriters ?', 'Is Tom Hanks a cast member ?', 'In which country is he citizen ?']","['146 minute', 'Yes', '2', 'Yes', 'United States of America']"
78,"['Name of the club Zlatan Ibrahimović was playing for in 2016/2017?', 'Was he born in the country of Manchester United F.C. from?', 'Country name of that club?', 'Did that country win 2018 wc?', 'Country name of that event?']","['Manchester United F.C.', 'No', 'United Kingdom', 'No', 'Russia']"
79,"['Who plays Archie Andrews in Riverdale?', 'What about Jughead Jones?', 'What comic was it based on?', 'When was it released?', 'What about the television series?']","['KJ Apa', 'Cole Sprouse', 'Archie', '1941', '26 January 2017']"
80,"['What English Premier League soccer team did David Beckham play for in 2002?', ""and who's he married to?"", 'and what band was she in?', 'what award did he get in 2012?', ""where's he from?""]","['Manchester United', 'Victoria Beckham', 'Spice Girls', 'Best MLS Player ESPY Award', 'United Kingdom']"
81,"['the city Maroon 5 comes from?', 'is it also where their vocalist and bassist were born?', 'what are the names of the ones who are not from LA among them?', 'which city he was born in?', 'anyone else in the band also born there?']","['Los Angeles', 'No', 'Mickey Madden', 'Austin', 'No']"
82,"['How long does the movie Angels & Demons take ?', 'Is it part of a series ?', 'number of screenwriters ?', 'Is Tom Hanks a cast member ?', 'In which country is he citizen ?']","['146 minute', 'Yes', '2', 'Yes', 'United States of America']"
83,"['Who wrote Law and Order?', 'Which channel did Law and Order come on?', 'What was the name of the actor who played Jack McCoy?', 'Who did Chris Noth play on Law and Order?', 'How many seasons was Law and Order?']","['Dick Wolf', 'NBC', 'Sam Waterston', 'Mike Logan', '20']"
84,"['What was the name of the author who wrote The Wonderful Wizard of Oz?', 'Can you name the Movie made from the book The Wonderful of Oz?', 'What is the name of the good witch in the The Wonderful Wizard of Oz?', 'When was The Wizard of Oz written?', 'What genre is this book?']","['L. Frank Baum', 'The Wizard of Oz', 'Glinda the Good Witch', '1900', ""children's literature""]"
85,"['What book has Pennywise the Dancing clown as the villain?', 'Where was the movie located?', 'What kid had his brother killed?', ""Who is Bill's best friend?"", 'What is the name of the main bully in IT?']","['IT', 'Derry', 'Bill Denbrough', 'Eddie Kapsbrack', 'Henry Bowers']"
86,"['The show is on what TV network?', 'When did it first air?', 'The show takes place in what location?', 'Who are the two detectives in the show?', 'What actors played those roles?']","['Fox Broadcasting Company', '21 September 2016', 'Los Angeles', 'Martin Riggs; Roger Murtaugh', 'Clayne Crawford; Damon Wayans']"
87,"['Who played the part of Allison DuBois in the TV show Medium?', 'What cities DA did she work for?', 'What actor stared as the DA?', ""and who played Allison's husband?"", 'number of seasons?']","['Patricia Arquette', 'Phoenix', 'Miguel Sandoval', 'Jake Weber', '7']"
88,"['What position did David Beckham play?', 'In what league did he play first?', 'What was the name of the school he went to?', 'Was Beckham in the 1998 World Cup?', ""What is the name of David Beckham's wife?""]","['midfielder', 'Premier League', 'Chingford Foundation School', 'Yes', 'Victoria Beckham']"
89,"['Who was the male lead actor in High School Musical?', 'What was the name of his character?', 'Who was the female lead actress?', 'Who played Sharpay?', 'Who was the director of the film?']","['Zac Efron', 'Troy Bolton', 'Vanessa Hudgens', 'Ashley Tisdale', 'Kenny Ortega']"
90,"['What is the place of birth of Jürgen Klopp ?', 'date of birth ?', 'Where was he employed in 2014 ?', 'and in 2017 ?', 'What is the official name of the club ?']","['Stuttgart', '16 June 1967', 'Borussia Dortmund', 'Liverpool F.C.', 'Liverpool Football Club']"
91,"['The movie Die Hard was released in theaters in which year?', 'And who is the primary actor?', ""And what is the character's name that he plays?"", 'Which director directed it?', 'Which book is the movie based on?']","['1988', 'Bruce Willis', 'John McClane', 'John McTiernan', 'Nothing Lasts Forever']"
92,"['From what country is the band Green Day?', 'In what year did the band get started?', ""The band's lead singer is who?"", 'What major record label signed them?', 'The first album released with Reprise Records was what?']","['United States', '1986', 'Billie Joe Armstrong', 'Reprise Records', 'Dookie']"
93,"['Who directs The Matrix?', 'Complete title of Matrix 2?', 'Any sequel to Matrix 2?', 'Who is Hugo Weaving play there?', 'Who acted as Trinity there?']","['Lilly Wachowski;Lana Wachowski', 'The Matrix Reloaded', 'Yes', 'Agent Smith', 'Carrie-Anne Moss']"
94,"['company that owns Zenit St Petersburg?', 'it also owns Moscow teams Dynamo and Spartak?', 'and among the three how many play in the russian premier league?', 'and which is the oldest?', 'how is their stadium called?']","['Gazprom', 'No', '3', 'Spartak Moscow', 'Otkrytie Arena']"
95,"['Who won the 2018 FIFA World Cup?', 'When was the final held?', ""What's the name of the stadium it was played at?"", 'Who was the head coach of the winning team?', 'What was the score at the end of the final?']","['France national football team', '15 July 2018', 'Luzhniki Stadium', 'Didier Deschamps', '4;2']"
96,"['What is the genre of the TV series Modern Family ?', 'Was it produced before How I Met Your mother ?', 'What is the number of seasons until 2018?', 'What is the film location of the TV series?', 'In which continent is this city?']","['mockumentary;American television sitcom', 'No', '10', 'Los Angeles', 'North America']"
97,"[""Who wrote the book One Flew Over the Cuckoo's Nest?"", 'What year did it hit the shelves?', 'What state is it set in?', 'Was the book adapted to live theater?', 'Was it made for film?']","['Ken Kesey', '1962', 'Oregon', 'Yes', 'Yes']"
98,"['By whom is the character the unicorn in The Last Unicorn dubbed?', 'Did the voice actor work as a model in the past?', 'Is the movie based on a book?', 'By whom is the soundtrack?', 'What genre do they play normally?']","['Mia Farrow', 'Yes', 'Yes', 'America', 'folk rock']"
99,"['Who created The X-Files?', 'What year did the show debut?', 'What network did the show run on?', 'Who were the two main characters in the show?', 'What two actors portrayed those characters?']","['Chris Carter', '1993', 'Fox Broadcasting Company', 'Fox Mulder;Dana Scully', 'David Duchovny;Gillian Anderson']"
100,"['How long does the movie Angels & Demons take ?', 'Is there a movie that follows ?', 'How many screenwriters has the movie ?', 'Is Tom Hanks part of the movie ?', 'In which country is he citizen ?']","['146 minute', 'Yes', '2', 'Yes', 'United States of America']"
101,"['Who is the writer of the fiction novel 1Q84?', ""author's nationality?"", 'which of his books won the World Fantasy Award for the best novel?', 'is he a recipient of Franz Kafka award?', 'when?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
102,"[""What's the name of the league that Manchester United is a member of?"", ""what's their home pitch?"", 'who was the coach in 2017?', 'what song do their fans sing?', 'what was the first time they were in the cup finals?']","['Premier League', 'Old Trafford', 'José Mourinho', 'Glory Glory', '1909']"
103,"['Who is the singer of The Killers?', 'What about the drummer?', 'and he was born which date?', 'who of the killers was also born that year?', 'when exactly?']","['Brandon Flowers', 'Ronnie Vannucci', '15 February 1976', 'Dave Keuning', '28 March 1976']"
104,"[""What's the name of the person who created the TV show Firefly?"", 'Did he write some episodes too?', 'Who was the character Mal Reynolds played by?', 'When did the first episode air?', 'How many episodes in the series?']","['Joss Whedon', 'Yes', 'Nathan Fillion', '20 September 2002', '14']"
105,"['The movie Black Panther was released during what year?', 'What actor was Black Panther?', 'Does the larger Marvel universe include Black Panther?', 'Directed by who?', 'Does Black Panther show up in other movies?']","['2018', 'Chadwick Boseman', 'Yes', 'Ryan Coogler', 'Yes']"
106,"['Who plays Malorie in Bird Box?', 'What station is it on?', ""Who's the director?"", 'When was it released?', 'Whats the rating?']","['Sandra Bullock', 'Netflix', 'Susanne Bier', '21 December 2018', 'R']"
107,"['the city Maroon 5 comes from?', 'is it also where their vocalist and bassist were born?', ""name of those who weren't then?"", 'city he comes from?', 'anyone else in the band also born there?']","['Los Angeles', 'No', 'Mickey Madden', 'Austin', 'No']"
108,"['When was the first short story about The Witcher released?', 'And the computer game The Witcher 1?', 'Which actor dubbed Geralt?', 'Is he still in The Witcher 3?', ""What's Ciri's full name?""]","['1986', '2007', 'Doug Cockle', 'Yes', 'Cirilla Fiona Elen Riannon']"
109,"['Who is the writer of the fiction novel 1Q84?', 'the country that the author is from?', 'he won the World Fantasy Award for?', 'is he a recipient of Franz Kafka award?', 'when?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
110,"['Can you tell me the author of Watership Down?', 'What nationality is the author?', 'What is the year of his birth?', 'What kind of animal was the main character in the book?', 'What was the year the novel was published?']","['Richard Adams', 'United Kingdom', '1920', 'rabbit', '1972']"
111,"['What year was the single Creep first released?', 'Who is the main singer of the group?', 'What cd was released through torrent?', 'What was the title of their eight album released?', 'In what year will Radiohead be in the Rock and Roll Hall of Fame?']","['1992', 'Thom Yorke', 'In Rainbows', 'The King of Limbs', '2019']"
112,"['whom Anjelica Huston plays in The Addams Family?', 'number of kids of Morticia?', 'who playes the younger?', 'what about the other child?', 'who of two actors is older in effect?']","['Morticia Addams', '2', 'Christina Ricci', 'Jimmy Workman', 'Christina Ricci']"
